Time,Price,Volume,Amount,SP1,SP2,SP3,SV1,SV2,SV3,BP1,BP2,BP3,BV1,BV2,BV3,isBuy
2006-8-1 9:30:00,8.8,288,253572,8.81,8.85,8.88,6,39,9,8.8,8.78,8.76,345,295,120,0
2006-8-1 9:30:17,8.82,73,64710,8.85,8.88,8.9,14,9,10,8.82,8.81,8.8,33,96,530,1
2006-8-1 9:30:37,8.81,33,29105,8.88,8.9,8.92,9,30,17,8.81,8.8,8.78,407,563,304,0
2006-8-1 9:30:48,8.8,455,400844,8.88,8.9,8.92,9,30,17,8.8,8.78,8.76,534,304,124,0
2006-8-1 9:31:30,8.88,10,8880,8.88,8.89,8.9,14,4,30,8.85,8.81,8.8,20,38,536,1
2006-8-1 9:31:40,8.88,14,12432,8.88,8.89,8.9,14,4,50,8.85,8.82,8.81,20,7,48,1
2006-8-1 9:31:52,8.89,4,3556,8.9,8.92,8.93,50,117,153,8.89,8.88,8.85,46,3,20,1
2006-8-1 9:32:27,8.89,27,23969,8.9,8.92,8.93,20,121,253,8.89,8.88,8.85,49,5,30,0
2006-8-1 9:32:42,8.9,3,2670,8.9,8.92,8.93,20,121,263,8.89,8.88,8.85,29,5,30,1
2006-8-1 9:32:52,8.9,18,16010,8.9,8.91,8.92,12,31,121,8.89,8.88,8.85,19,5,30,1
2006-8-1 9:33:04,8.89,19,16935,8.9,8.91,8.92,121,31,121,8.89,8.88,8.85,19,5,30,0
2006-8-1 9:33:23,8.88,5,4440,8.87,8.89,8.9,29,95,245,8.85,8.81,8.8,30,160,632,0
2006-8-1 9:33:34,8.87,23,20401,8.87,8.89,8.9,11,127,249,8.85,8.81,8.8,30,160,632,1
2006-8-1 9:33:42,8.88,20,17754,8.87,8.88,8.89,6,15,127,8.85,8.81,8.8,30,160,632,1
2006-8-1 9:33:47,8.89,5,4444,8.89,8.9,8.91,124,249,31,8.85,8.81,8.8,30,160,632,1
2006-8-1 9:33:59,8.89,11,9779,8.89,8.9,8.91,126,249,31,8.85,8.81,8.8,30,160,628,1
2006-8-1 9:34:04,8.89,42,37202,8.89,8.9,8.91,129,249,31,8.81,8.8,8.78,108,628,304,1
2006-8-1 9:34:12,8.88,10,8880,8.88,8.89,8.9,20,219,249,8.87,8.82,8.81,6,15,108,0
2006-8-1 9:34:29,8.88,10,8880,8.88,8.89,8.9,10,219,259,8.87,8.82,8.81,11,15,108,1
2006-8-1 9:34:37,8.89,23,20434,8.89,8.9,8.91,209,259,31,8.87,8.82,8.81,11,15,108,1
2006-8-1 9:34:42,8.87,3,2661,8.89,8.9,8.91,229,159,31,8.87,8.82,8.81,8,15,108,0
2006-8-1 9:34:50,8.82,20,17680,8.87,8.89,8.9,20,229,159,8.82,8.81,8.8,3,108,658,0
2006-8-1 9:35:17,8.87,20,17740,8.85,8.88,8.89,300,137,269,8.82,8.81,8.8,3,90,664,1
2006-8-1 9:35:21,8.85,134,118590,8.85,8.88,8.89,166,137,269,8.82,8.81,8.8,3,90,664,1
2006-8-1 9:35:46,8.85,50,44250,8.85,8.88,8.89,116,163,269,8.83,8.82,8.81,5,57,93,1
2006-8-1 9:35:54,8.83,101,89383,8.85,8.88,8.89,16,196,269,8.83,8.82,8.81,4,57,113,0
2006-8-1 9:36:03,8.85,16,14160,8.88,8.89,8.9,196,259,105,8.85,8.83,8.82,1,4,60,1
2006-8-1 9:36:15,8.83,30,26492,8.88,8.89,8.9,196,259,105,8.85,8.82,8.81,14,60,118,0
2006-8-1 9:36:36,8.85,5,4425,8.88,8.89,8.9,196,244,105,8.85,8.82,8.81,24,80,118,0
2006-8-1 9:36:39,8.88,49,43507,8.88,8.89,8.9,249,244,105,8.85,8.82,8.81,19,90,118,1
2006-8-1 9:36:50,8.85,10,8850,8.88,8.89,8.9,249,244,105,8.85,8.82,8.81,9,90,121,0
2006-8-1 9:36:59,8.88,2,1776,8.88,8.89,8.9,247,244,105,8.86,8.85,8.83,101,59,20,1
2006-8-1 9:37:06,8.88,1,888,8.87,8.88,8.89,25,251,244,8.86,8.85,8.83,101,59,36,1
2006-8-1 9:37:17,8.86,10,8860,8.87,8.88,8.89,35,266,244,8.86,8.85,8.83,101,59,36,0
2006-8-1 9:37:23,8.87,4,3548,8.87,8.88,8.89,31,266,244,8.86,8.85,8.83,111,61,36,1
2006-8-1 9:37:47,8.87,29,25723,8.87,8.88,8.89,2,169,244,8.86,8.85,8.83,111,76,61,1
2006-8-1 9:37:58,8.87,5,4432,8.88,8.89,8.9,169,224,105,8.87,8.86,8.85,30,108,76,1
2006-8-1 9:38:20,8.87,30,26610,8.87,8.88,8.89,67,169,224,8.86,8.85,8.83,113,76,61,0
2006-8-1 9:38:28,8.87,13,11530,8.87,8.88,8.89,75,169,224,8.86,8.85,8.83,112,92,61,1
2006-8-1 9:38:31,8.87,65,57655,8.88,8.89,8.9,169,224,115,8.87,8.86,8.85,25,112,92,1
2006-8-1 9:38:37,8.86,32,28377,8.88,8.89,8.9,169,224,115,8.87,8.86,8.85,5,105,126,0
2006-8-1 9:38:44,8.87,12,10378,8.88,8.89,8.9,169,224,125,8.87,8.86,8.85,3,105,126,0
2006-8-1 9:38:55,8.87,50,44350,8.88,8.89,8.9,169,224,125,8.87,8.86,8.85,108,105,126,0
2006-8-1 9:39:04,8.87,13,11531,8.88,8.89,8.9,170,224,125,8.87,8.86,8.85,98,105,126,0
2006-8-1 9:39:08,8.87,95,84531,8.88,8.89,8.9,170,224,125,8.87,8.86,8.85,95,105,126,0
2006-8-1 9:39:15,8.87,5,4169,8.87,8.88,8.89,4,170,224,8.86,8.85,8.83,105,126,101,0
2006-8-1 9:39:23,8.87,20,18006,8.87,8.88,8.89,205,170,224,8.86,8.85,8.83,105,126,101,1
2006-8-1 9:39:33,8.87,5,4435,8.87,8.88,8.89,255,170,224,8.86,8.85,8.83,125,131,101,1
2006-8-1 9:39:57,8.87,23,20398,8.87,8.88,8.89,338,220,224,8.86,8.85,8.83,142,131,101,1
2006-8-1 9:40:12,8.86,100,88600,8.87,8.88,8.89,408,220,241,8.86,8.85,8.83,142,131,101,0
2006-8-1 9:40:17,8.86,42,37212,8.86,8.87,8.88,161,418,220,8.85,8.83,8.82,141,101,76,0
